Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
49302-RAN,Female,47,No,Rangpur,14,4,No Deal,No,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,459.38,14949.0,0.0,0.0,0.0,14949.0,Stayed,Not Applicable,Not Applicable
93520-RAN,Female,67,No,Rangpur,13,19,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,540.75,540.75,0.0,0.0,58.27,599.03,Joined,Not Applicable,Not Applicable
73360-RAJ,Female,74,No,Rajshahi,0,30,No Deal,Yes,No,Yes,Fiber Optic,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,470.25,20936.25,0.0,0.0,3601.12,24537.38,Churned,Dissatisfaction,Limited range of services
36756-SYL,Male,64,Yes,Sylhet,15,33,No Deal,No,No,Yes,Mobile Broadband,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,188.25,188.25,0.0,0.0,0.0,188.25,Churned,Competitor,Competitor made better offer
11925-DHK,Female,78,Yes,Dhaka,12,12,No Deal,Yes,Yes,No,None,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,189.0,9797.25,0.0,0.0,11786.25,21583.5,Stayed,Not Applicable,Not Applicable
87346-SYL,Female,29,Yes,Sylhet,12,20,No Deal,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,705.75,9117.0,0.0,0.0,4247.1,13364.1,Churned,Other,Don't know
86818-DHK,Female,29,Yes,Dhaka,8,22,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,628.12,13874.62,0.0,0.0,6021.97,19896.6,Stayed,Not Applicable,Not Applicable
57256-CTG,Female,18,No,Chattogram,9,7,No Deal,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,148.88,429.0,0.0,0.0,70.2,499.2,Joined,Not Applicable,Not Applicable
65431-SYL,Female,31,No,Sylhet,12,24,Deal 5,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,152.62,572.62,0.0,0.0,372.9,945.52,Churned,Price,Long distance charges
13829-BAR,Female,34,Yes,Barishal,12,26,No Deal,No,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,228.75,228.75,0.0,0.0,0.0,228.75,Churned,Attitude,Attitude of service provider
19279-DHK,Female,35,No,Dhaka,14,18,No Deal,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,777.75,42425.62,0.0,150.0,14454.0,57029.62,Stayed,Not Applicable,Not Applicable
27129-KHU,Male,44,Yes,Khulna,0,23,No Deal,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,153.0,8179.5,0.0,0.0,7978.5,16158.0,Stayed,Not Applicable,Not Applicable
81327-CTG,Female,69,Yes,Chattogram,6,3,Deal 3,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,147.0,3538.88,159.38,0.0,7351.5,10731.0,Stayed,Not Applicable,Not Applicable
42012-DHK,Female,49,No,Dhaka,8,2,No Deal,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,147.75,10476.75,0.0,0.0,19866.82,30343.58,Stayed,Not Applicable,Not Applicable
79321-DHK,Female,22,Yes,Dhaka,4,8,Deal 3,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,684.0,24356.62,0.0,0.0,11935.27,36291.9,Stayed,Not Applicable,Not Applicable
82811-BAR,Female,46,Yes,Barishal,2,18,Deal 2,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,153.38,6756.75,0.0,0.0,18220.65,24977.4,Stayed,Not Applicable,Not Applicable
36568-BAR,Male,26,Yes,Barishal,7,8,No Deal,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-15.0,59566.12,0.0,0.0,21666.15,81232.27,Stayed,Not Applicable,Not Applicable
62683-DHK,Female,30,No,Dhaka,12,20,No Deal,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,154.12,10075.5,228.98,0.0,11617.8,21464.32,Stayed,Not Applicable,Not Applicable
18223-SYL,Male,32,No,Sylhet,14,2,No Deal,No,No,Yes,Mobile Broadband,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,295.5,6190.5,0.0,0.0,0.0,6190.5,Stayed,Not Applicable,Not Applicable
41111-DHK,Female,32,No,Dhaka,10,8,No Deal,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,188.25,8026.13,0.0,0.0,9881.4,17907.53,Stayed,Not Applicable,Not Applicable
74542-DHK,Female,41,No,Dhaka,15,16,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,673.5,37197.0,0.0,0.0,2095.5,39292.5,Stayed,Not Applicable,Not Applicable
18842-BAR,Male,56,Yes,Barishal,2,30,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,710.62,41982.38,0.0,0.0,7252.57,49234.95,Stayed,Not Applicable,Not Applicable
12210-DHK,Female,52,No,Dhaka,0,31,No Deal,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,152.25,1683.75,0.0,0.0,1735.2,3418.95,Stayed,Not Applicable,Not Applicable
76566-DHK,Male,61,No,Dhaka,1,20,Deal 3,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,568.12,14467.5,0.0,0.0,5115.15,19582.65,Stayed,Not Applicable,Not Applicable
73036-SYL,Female,66,Yes,Sylhet,10,21,No Deal,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,369.38,683.25,0.0,0.0,659.85,1343.1,Churned,Competitor,Competitor made better offer
42964-DHK,Female,25,Yes,Dhaka,3,25,Deal 3,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,586.5,15592.12,0.0,0.0,9904.27,25496.4,Stayed,Not Applicable,Not Applicable
18220-CTG,Male,35,No,Chattogram,12,19,No Deal,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,191.25,4729.5,333.15,0.0,4441.88,8838.23,Stayed,Not Applicable,Not Applicable
47645-BAR,Male,51,Yes,Barishal,15,14,No Deal,Yes,No,Yes,Mobile Broadband,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,462.0,12082.5,336.75,0.0,1209.38,12955.12,Stayed,Not Applicable,Not Applicable
82015-DHK,Female,52,No,Dhaka,7,23,No Deal,No,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,337.5,9318.38,91.95,0.0,0.0,9226.43,Stayed,Not Applicable,Not Applicable
15644-MYM,Female,22,No,Mymensingh,6,3,No Deal,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,638.62,47371.5,0.0,0.0,17474.4,64845.9,Stayed,Not Applicable,Not Applicable
24801-CTG,Female,61,Yes,Chattogram,12,28,No Deal,Yes,No,Yes,Mobile Broadband,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,385.88,5458.88,0.0,0.0,2524.2,7983.08,Stayed,Not Applicable,Not Applicable
85794-CTG,Female,36,No,Chattogram,5,4,Deal 3,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,744.38,26490.0,0.0,0.0,9560.25,36050.25,Stayed,Not Applicable,Not Applicable
72357-SYL,Female,53,No,Sylhet,14,12,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,332.25,332.25,0.0,0.0,322.12,654.38,Joined,Not Applicable,Not Applicable
28648-DHK,Male,54,Yes,Dhaka,3,14,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,706.5,19557.0,0.0,150.0,445.88,20152.88,Stayed,Not Applicable,Not Applicable
85682-RAN,Female,26,No,Rangpur,3,20,No Deal,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,609.38,41756.62,0.0,300.0,2635.2,44691.82,Stayed,Not Applicable,Not Applicable
93096-RAJ,Male,31,Yes,Rajshahi,9,14,No Deal,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,749.62,28255.5,0.0,0.0,7131.15,35386.65,Stayed,Not Applicable,Not Applicable
49974-RAN,Female,73,No,Rangpur,4,29,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,686.62,27552.0,0.0,0.0,13242.0,40794.0,Stayed,Not Applicable,Not Applicable
36405-SYL,Male,47,No,Sylhet,9,26,No Deal,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,783.75,30276.38,0.0,0.0,11307.0,41583.38,Churned,Competitor,Competitor had better devices
22439-RAN,Female,73,Yes,Rangpur,4,1,Deal 4,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,712.5,8402.25,0.0,900.0,956.17,10258.42,Churned,Dissatisfaction,Product dissatisfaction
33514-DHK,Female,28,Yes,Dhaka,2,3,Deal 5,Yes,Yes,Yes,Mobile Broadband,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,377.62,2359.12,0.0,0.0,1919.7,4278.82,Stayed,Not Applicable,Not Applicable
21555-CTG,Female,54,No,Chattogram,15,34,No Deal,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mobile Banking (bKash/Nagad),483.75,14163.38,0.0,0.0,594.0,14757.38,Stayed,Not Applicable,Not Applicable
46640-BAR,Male,31,Yes,Barishal,8,31,No Deal,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,145.5,3973.5,0.0,0.0,4183.65,8157.15,Stayed,Not Applicable,Not Applicable
23376-KHU,Female,68,No,Khulna,3,16,No Deal,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,786.0,54817.12,45.83,0.0,20732.25,75503.55,Stayed,Not Applicable,Not Applicable
98423-SYL,Male,65,No,Sylhet,5,2,No Deal,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,377.25,21589.12,76.73,0.0,7990.95,29503.35,Stayed,Not Applicable,Not Applicable
34135-DHK,Female,21,No,Dhaka,9,6,No Deal,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,535.5,9090.75,0.0,0.0,3085.2,12175.95,Stayed,Not Applicable,Not Applicable
89530-KHU,Female,58,Yes,Khulna,15,33,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,870.0,61371.38,0.0,0.0,19934.1,81305.47,Stayed,Not Applicable,Not Applicable
69173-KHU,Male,27,No,Khulna,9,27,Deal 5,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,148.88,148.88,0.0,0.0,238.28,387.15,Churned,Attitude,Attitude of support person
22286-BAR,Female,54,Yes,Barishal,6,36,No Deal,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,748.12,748.12,0.0,0.0,305.32,1053.45,Churned,Competitor,Competitor had better devices
66581-DHK,Female,73,Yes,Dhaka,8,32,Deal 3,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mobile Banking (bKash/Nagad),704.62,21460.88,0.0,0.0,7646.4,29107.27,Stayed,Not Applicable,Not Applicable
22573-KHU,Male,46,No,Khulna,9,35,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,681.0,10816.5,0.0,0.0,5845.2,16661.7,Stayed,Not Applicable,Not Applicable
25964-BAR,Male,66,Yes,Barishal,10,1,Deal 2,Yes,Yes,Yes,Mobile Broadband,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,632.62,30445.12,0.0,0.0,14534.62,44979.75,Churned,Competitor,Competitor offered higher download speeds
92186-BAR,Female,42,No,Barishal,13,12,Deal 1,No,No,Yes,Mobile Broadband,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,436.88,31094.25,0.0,0.0,0.0,31094.25,Stayed,Not Applicable,Not Applicable
39892-MYM,Male,41,Yes,Mymensingh,3,31,No Deal,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,806.62,27341.25,0.0,0.0,12298.27,39639.53,Stayed,Not Applicable,Not Applicable
71292-DHK,Female,18,No,Dhaka,1,1,Deal 4,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,149.62,1408.12,0.0,0.0,3720.0,5128.12,Stayed,Not Applicable,Not Applicable
31698-BAR,Female,20,Yes,Barishal,15,1,No Deal,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,834.0,17378.25,0.0,900.0,5710.95,23989.2,Churned,Attitude,Attitude of service provider
76182-DHK,Male,47,No,Dhaka,7,10,No Deal,No,No,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,301.5,10866.0,0.0,0.0,0.0,10866.0,Churned,Competitor,Competitor offered more data
73588-RAJ,Female,72,No,Rajshahi,14,29,No Deal,Yes,No,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,643.5,16452.38,0.0,0.0,6579.3,23031.67,Stayed,Not Applicable,Not Applicable
59410-DHK,Male,50,No,Dhaka,5,17,Deal 2,No,No,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,265.5,13116.75,0.0,0.0,0.0,13116.75,Stayed,Not Applicable,Not Applicable
69444-SYL,Female,31,Yes,Sylhet,5,10,No Deal,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,553.88,3834.38,97.72,0.0,1502.55,5239.2,Churned,Competitor,Competitor made better offer
66365-DHK,Female,59,Yes,Dhaka,9,5,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mobile Banking (bKash/Nagad),660.75,41450.62,0.0,0.0,21589.43,63040.05,Stayed,Not Applicable,Not Applicable
66612-RAJ,Female,38,Yes,Rajshahi,8,27,Deal 4,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,760.12,11654.62,0.0,0.0,5166.0,16820.62,Churned,Attitude,Attitude of service provider
39181-CTG,Male,54,Yes,Chattogram,10,7,No Deal,No,No,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,343.5,8602.5,0.0,0.0,0.0,8602.5,Stayed,Not Applicable,Not Applicable
97688-KHU,Female,35,Yes,Khulna,4,29,No Deal,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,709.88,50605.12,0.0,0.0,17938.8,68543.93,Stayed,Not Applicable,Not Applicable
71687-RAJ,Male,69,Yes,Rajshahi,4,12,No Deal,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,153.75,6487.88,0.0,0.0,9042.0,15529.88,Stayed,Not Applicable,Not Applicable
34524-DHK,Female,57,No,Dhaka,13,23,Deal 1,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,670.5,44826.75,270.15,300.0,24146.1,69002.7,Stayed,Not Applicable,Not Applicable
93739-DHK,Female,44,No,Dhaka,14,6,No Deal,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,646.88,1362.38,0.0,0.0,552.15,1914.53,Churned,Competitor,Competitor offered higher download speeds
21662-RAJ,Male,79,Yes,Rajshahi,15,36,No Deal,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,561.38,24510.38,134.32,0.0,2547.6,26923.65,Stayed,Not Applicable,Not Applicable
19096-CTG,Female,58,Yes,Chattogram,14,28,Deal 4,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,673.12,7893.0,0.0,0.0,1294.2,9187.2,Churned,Attitude,Attitude of support person
72489-BAR,Female,73,No,Barishal,11,20,No Deal,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,824.62,57256.88,0.0,0.0,9527.17,66784.05,Stayed,Not Applicable,Not Applicable
46624-CTG,Female,26,Yes,Chattogram,13,27,Deal 5,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mobile Banking (bKash/Nagad),601.5,601.5,0.0,0.0,9.22,610.73,Churned,Price,Lack of affordable download/upload speed
14078-DHK,Female,28,Yes,Dhaka,6,18,Deal 5,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,148.88,478.12,0.0,0.0,579.38,1057.5,Churned,Price,Long distance charges
34425-MYM,Male,81,No,Mymensingh,0,21,No Deal,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,648.38,18007.88,0.0,0.0,601.42,18609.3,Stayed,Not Applicable,Not Applicable
41236-RAN,Female,54,No,Rangpur,10,12,Deal 3,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,152.25,3834.38,0.0,0.0,2601.3,6435.68,Stayed,Not Applicable,Not Applicable
68369-DHK,Female,76,No,Dhaka,6,12,No Deal,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,759.38,29618.62,0.0,0.0,5893.88,35512.5,Stayed,Not Applicable,Not Applicable
91027-SYL,Male,42,No,Sylhet,4,20,No Deal,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,710.25,17715.75,0.0,0.0,6540.0,24255.75,Churned,Competitor,Competitor had better devices
85993-KHU,Female,42,Yes,Khulna,11,1,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mobile Banking (bKash/Nagad),531.75,531.75,0.0,0.0,298.58,830.32,Churned,Competitor,Competitor had better devices
12999-CTG,Female,52,No,Chattogram,5,34,Deal 4,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,406.5,8645.25,0.0,0.0,4494.6,13139.85,Churned,Attitude,Attitude of service provider
48768-SYL,Female,57,No,Sylhet,12,26,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,861.75,63725.25,0.0,0.0,26119.8,89845.05,Stayed,Not Applicable,Not Applicable
86994-MYM,Female,55,Yes,Mymensingh,7,24,No Deal,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,146.62,3526.5,0.0,0.0,1915.2,5441.7,Stayed,Not Applicable,Not Applicable
95096-DHK,Male,38,No,Dhaka,0,32,No Deal,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,651.38,11733.0,0.0,0.0,1117.2,12850.2,Stayed,Not Applicable,Not Applicable
71676-RAN,Female,18,No,Rangpur,3,6,No Deal,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,190.12,13856.62,0.0,0.0,4899.0,18755.62,Stayed,Not Applicable,Not Applicable
84002-MYM,Male,77,No,Mymensingh,5,5,No Deal,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,824.25,27710.25,0.0,0.0,6224.62,33934.88,Stayed,Not Applicable,Not Applicable
66612-KHU,Female,58,Yes,Khulna,11,18,No Deal,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,149.62,435.0,0.0,0.0,60.53,495.52,Joined,Not Applicable,Not Applicable
32553-KHU,Male,52,No,Khulna,11,1,No Deal,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,654.0,30130.88,0.0,0.0,384.22,30515.1,Stayed,Not Applicable,Not Applicable
