Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,Predicted_Status,Churn_Probability
45978-RAN,Female,38,Yes,Rangpur,2,19,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,155.62,331.5,0.0,0.0,415.05,746.55,Joined,Not Applicable,Not Applicable,Likely to Churn,94.06
91835-RAN,Male,21,Yes,Rangpur,12,5,No Deal,Yes,No,Yes,Mobile Broadband,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,566.25,566.25,0.0,0.0,42.23,608.47,Joined,Not Applicable,Not Applicable,Likely to Churn,98.24
98788-KHU,Male,58,Yes,Khulna,4,16,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mobile Banking (bKash/Nagad),150.38,294.38,0.0,0.0,102.75,397.12,Joined,Not Applicable,Not Applicable,Likely to Churn,94.39
48018-RAN,Male,39,No,Rangpur,1,14,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,146.62,146.62,0.0,0.0,229.72,376.35,Joined,Not Applicable,Not Applicable,Likely to Churn,95.73
31601-DHK,Female,31,Yes,Dhaka,2,10,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,147.38,147.38,0.0,0.0,318.15,465.52,Joined,Not Applicable,Not Applicable,Likely to Churn,95.49
74651-CTG,Female,30,Yes,Chattogram,7,23,No Deal,No,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,219.0,738.75,0.0,0.0,0.0,738.75,Joined,Not Applicable,Not Applicable,Likely to Churn,75.5
42358-CTG,Female,53,No,Chattogram,9,35,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,406.5,1053.0,0.0,0.0,931.05,1984.05,Joined,Not Applicable,Not Applicable,Likely to Churn,89.32
71564-KHU,Female,48,No,Khulna,6,5,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,142.88,142.88,0.0,0.0,37.65,180.53,Joined,Not Applicable,Not Applicable,Likely to Churn,96.49
22137-KHU,Female,51,No,Khulna,4,28,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,One Year,No,Credit Card,148.88,148.88,0.0,0.0,355.95,504.83,Joined,Not Applicable,Not Applicable,Likely to Churn,91.84
44709-CTG,Female,72,Yes,Chattogram,7,17,No Deal,No,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,230.62,621.38,0.0,0.0,0.0,621.38,Joined,Not Applicable,Not Applicable,Likely to Churn,94.31
27856-DHK,Female,33,Yes,Dhaka,1,32,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,144.38,144.38,0.0,0.0,70.8,215.18,Joined,Not Applicable,Not Applicable,Likely to Churn,95.71
26567-DHK,Female,67,Yes,Dhaka,1,35,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,152.62,152.62,0.0,0.0,225.68,378.3,Joined,Not Applicable,Not Applicable,Likely to Churn,83.47
27465-SYL,Female,50,No,Sylhet,10,30,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,148.88,148.88,0.0,0.0,123.52,272.4,Joined,Not Applicable,Not Applicable,Likely to Churn,97.81
54195-DHK,Female,61,Yes,Dhaka,11,23,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,148.12,148.12,0.0,0.0,282.15,430.27,Joined,Not Applicable,Not Applicable,Likely to Churn,97.1
38748-RAJ,Female,22,Yes,Rajshahi,13,6,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,147.38,147.38,0.0,0.0,209.1,356.48,Joined,Not Applicable,Not Applicable,Likely to Churn,96.66
78918-CTG,Female,59,No,Chattogram,12,11,Deal 5,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,645.38,1836.38,0.0,0.0,410.85,2247.22,Joined,Not Applicable,Not Applicable,Likely to Churn,83.02
99515-MYM,Male,34,No,Mymensingh,11,11,No Deal,Yes,Yes,Yes,Mobile Broadband,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,489.38,1574.25,0.0,0.0,960.3,2534.55,Joined,Not Applicable,Not Applicable,Likely to Churn,65.31
26902-RAJ,Male,52,Yes,Rajshahi,7,2,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,718.88,718.88,0.0,0.0,20.25,739.12,Joined,Not Applicable,Not Applicable,Likely to Churn,98.29
97497-RAN,Male,24,Yes,Rangpur,9,8,Deal 5,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,374.25,374.25,0.0,0.0,47.62,421.88,Joined,Not Applicable,Not Applicable,Likely to Churn,98.44
28317-SYL,Female,29,Yes,Sylhet,14,6,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Two Year,No,Mobile Banking (bKash/Nagad),143.25,390.0,0.0,0.0,1019.93,1409.93,Joined,Not Applicable,Not Applicable,Likely to Churn,67.66
32063-DHK,Female,63,Yes,Dhaka,6,31,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,142.5,142.5,0.0,0.0,212.1,354.6,Joined,Not Applicable,Not Applicable,Likely to Churn,95.15
84843-SYL,Female,57,Yes,Sylhet,11,8,No Deal,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,563.25,563.25,0.0,0.0,33.98,597.22,Joined,Not Applicable,Not Applicable,Likely to Churn,99.1
43920-RAN,Female,38,No,Rangpur,9,3,Deal 5,Yes,No,Yes,Mobile Broadband,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,374.25,374.25,0.0,0.0,67.5,441.75,Joined,Not Applicable,Not Applicable,Likely to Churn,97.57
48939-CTG,Female,38,Yes,Chattogram,1,6,No Deal,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,374.62,374.62,0.0,0.0,337.35,711.98,Joined,Not Applicable,Not Applicable,Likely to Churn,98.46
67882-DHK,Female,44,No,Dhaka,3,16,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,328.5,328.5,0.0,0.0,281.25,609.75,Joined,Not Applicable,Not Applicable,Likely to Churn,98.09
18015-MYM,Female,28,Yes,Mymensingh,15,9,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,374.25,374.25,0.0,0.0,111.97,486.22,Joined,Not Applicable,Not Applicable,Likely to Churn,97.66
12257-MYM,Female,39,No,Mymensingh,9,1,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,146.62,146.62,0.0,0.0,76.5,223.12,Joined,Not Applicable,Not Applicable,Likely to Churn,94.75
78253-RAN,Male,63,No,Rangpur,13,30,No Deal,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,637.5,637.5,0.0,0.0,114.0,751.5,Joined,Not Applicable,Not Applicable,Likely to Churn,98.89
66868-BAR,Female,25,Yes,Barishal,13,10,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,526.88,526.88,0.0,75.0,75.38,677.25,Joined,Not Applicable,Not Applicable,Likely to Churn,98.82
33776-CTG,Male,32,Yes,Chattogram,6,10,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,144.0,144.0,0.0,0.0,269.1,413.1,Joined,Not Applicable,Not Applicable,Likely to Churn,96.05
16931-CTG,Female,39,Yes,Chattogram,8,23,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,144.75,144.75,0.0,0.0,64.95,209.7,Joined,Not Applicable,Not Applicable,Likely to Churn,95.29
74518-MYM,Female,27,No,Mymensingh,13,13,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,333.38,620.25,0.0,0.0,280.5,900.75,Joined,Not Applicable,Not Applicable,Likely to Churn,94.68
83486-DHK,Male,34,No,Dhaka,5,4,Deal 5,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,565.12,565.12,0.0,0.0,291.68,856.8,Joined,Not Applicable,Not Applicable,Likely to Churn,98.54
38663-DHK,Male,42,No,Dhaka,7,15,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,152.25,301.88,0.0,0.0,109.05,410.93,Joined,Not Applicable,Not Applicable,Likely to Churn,96.23
44655-RAJ,Male,41,Yes,Rajshahi,0,25,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Mobile Banking (bKash/Nagad),378.75,1108.12,0.0,0.0,593.55,1701.67,Joined,Not Applicable,Not Applicable,Likely to Churn,85.56
11751-KHU,Female,18,No,Khulna,5,7,Deal 5,No,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mobile Banking (bKash/Nagad),182.25,288.38,0.0,0.0,0.0,288.38,Joined,Not Applicable,Not Applicable,Likely to Churn,96.34
45213-RAJ,Female,25,Yes,Rajshahi,15,5,Deal 5,Yes,No,Yes,Mobile Broadband,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,459.0,944.62,0.0,0.0,480.9,1425.52,Joined,Not Applicable,Not Applicable,Likely to Churn,79.66
21165-DHK,Female,38,No,Dhaka,2,32,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,149.62,286.12,0.0,0.0,518.55,804.68,Joined,Not Applicable,Not Applicable,Likely to Churn,94.81
83113-RAN,Male,35,No,Rangpur,8,30,No Deal,No,No,Yes,Fiber Optic,No,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,218.62,218.62,0.0,0.0,0.0,218.62,Joined,Not Applicable,Not Applicable,Likely to Churn,95.58
34319-DHK,Male,40,Yes,Dhaka,12,25,Deal 5,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,376.12,376.12,0.0,0.0,152.25,528.38,Joined,Not Applicable,Not Applicable,Likely to Churn,97.7
73044-KHU,Male,23,Yes,Khulna,15,5,No Deal,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,559.5,559.5,0.0,0.0,322.43,881.93,Joined,Not Applicable,Not Applicable,Likely to Churn,98.34
71689-BAR,Female,42,Yes,Barishal,3,19,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,329.62,329.62,0.0,0.0,341.93,671.55,Joined,Not Applicable,Not Applicable,Likely to Churn,97.95
78885-KHU,Female,43,No,Khulna,2,5,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,146.25,146.25,0.0,0.0,150.82,297.07,Joined,Not Applicable,Not Applicable,Likely to Churn,96.64
65987-KHU,Male,52,Yes,Khulna,9,34,Deal 5,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,458.62,458.62,0.0,0.0,128.03,586.65,Joined,Not Applicable,Not Applicable,Likely to Churn,97.22
94070-SYL,Female,21,Yes,Sylhet,8,3,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,675.75,675.75,0.0,0.0,182.47,858.23,Joined,Not Applicable,Not Applicable,Likely to Churn,98.98
85031-RAN,Female,60,No,Rangpur,1,4,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,330.0,330.0,0.0,0.0,100.5,430.5,Joined,Not Applicable,Not Applicable,Likely to Churn,98.26
72469-SYL,Male,56,No,Sylhet,9,9,No Deal,Yes,No,Yes,Mobile Broadband,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,417.75,417.75,0.0,0.0,132.6,550.35,Joined,Not Applicable,Not Applicable,Likely to Churn,96.9
46792-SYL,Female,59,Yes,Sylhet,6,25,Deal 5,No,No,Yes,Fiber Optic,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,269.25,269.25,0.0,0.0,0.0,269.25,Joined,Not Applicable,Not Applicable,Likely to Churn,97.3
28873-KHU,Male,55,No,Khulna,7,4,No Deal,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,562.12,1138.12,0.0,0.0,56.4,1194.53,Joined,Not Applicable,Not Applicable,Likely to Churn,94.75
95748-DHK,Male,22,Yes,Dhaka,5,4,Deal 5,Yes,Yes,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Mobile Banking (bKash/Nagad),190.5,190.5,0.0,0.0,245.47,435.98,Joined,Not Applicable,Not Applicable,Likely to Churn,96.5
23683-RAJ,Male,26,No,Rajshahi,10,16,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,151.88,151.88,0.0,0.0,322.2,474.07,Joined,Not Applicable,Not Applicable,Likely to Churn,92.78
84789-BAR,Male,46,No,Barishal,9,19,Deal 5,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,809.62,2389.5,0.0,0.0,284.85,2674.35,Joined,Not Applicable,Not Applicable,Likely to Churn,86.43
84508-KHU,Female,28,Yes,Khulna,11,28,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,158.25,158.25,0.0,0.0,141.07,299.32,Joined,Not Applicable,Not Applicable,Likely to Churn,95.88
98301-CTG,Male,28,Yes,Chattogram,4,27,No Deal,Yes,No,Yes,Mobile Broadband,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,400.88,896.25,0.0,0.0,188.85,1085.1,Joined,Not Applicable,Not Applicable,Likely to Churn,82.62
16068-CTG,Female,44,Yes,Chattogram,4,25,Deal 5,No,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,189.38,189.38,0.0,75.0,0.0,264.38,Joined,Not Applicable,Not Applicable,Likely to Churn,97.89
42768-KHU,Female,45,No,Khulna,13,14,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,145.5,145.5,0.0,0.0,21.38,166.88,Joined,Not Applicable,Not Applicable,Likely to Churn,95.85
46619-RAN,Male,25,No,Rangpur,1,14,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,One Year,No,Credit Card,153.0,153.0,0.0,0.0,206.25,359.25,Joined,Not Applicable,Not Applicable,Likely to Churn,89.82
84613-CTG,Female,30,No,Chattogram,8,22,Deal 5,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,593.62,593.62,0.0,450.0,135.0,1178.62,Joined,Not Applicable,Not Applicable,Likely to Churn,96.47
91320-KHU,Female,58,No,Khulna,0,18,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,525.75,525.75,0.0,0.0,8.62,534.38,Joined,Not Applicable,Not Applicable,Likely to Churn,98.49
39540-CTG,Female,34,No,Chattogram,12,13,No Deal,Yes,No,Yes,Mobile Broadband,No,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,367.88,367.88,0.0,0.0,193.28,561.15,Joined,Not Applicable,Not Applicable,Likely to Churn,98.09
19539-BAR,Female,37,Yes,Barishal,14,8,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,340.5,340.5,0.0,0.0,369.97,710.48,Joined,Not Applicable,Not Applicable,Likely to Churn,97.88
23256-BAR,Female,32,Yes,Barishal,10,31,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,148.88,390.0,0.0,0.0,540.75,930.75,Joined,Not Applicable,Not Applicable,Likely to Churn,94.63
66164-SYL,Female,62,No,Sylhet,13,20,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,145.5,457.88,0.0,0.0,99.75,557.62,Joined,Not Applicable,Not Applicable,Likely to Churn,90.84
45038-CTG,Female,25,Yes,Chattogram,7,14,No Deal,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,559.12,1752.38,0.0,0.0,227.25,1979.62,Joined,Not Applicable,Not Applicable,Likely to Churn,85.48
58974-SYL,Male,34,No,Sylhet,11,14,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,152.25,309.0,0.0,0.0,190.2,499.2,Joined,Not Applicable,Not Applicable,Likely to Churn,97.08
94243-KHU,Female,34,No,Khulna,5,15,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,149.25,149.25,0.0,0.0,58.2,207.45,Joined,Not Applicable,Not Applicable,Likely to Churn,93.55
92398-RAJ,Male,35,No,Rajshahi,5,12,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,150.0,462.75,0.0,0.0,345.82,808.58,Joined,Not Applicable,Not Applicable,Likely to Churn,72.6
84535-KHU,Male,46,No,Khulna,2,36,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Mobile Banking (bKash/Nagad),153.0,321.75,0.0,0.0,742.95,1064.7,Joined,Not Applicable,Not Applicable,Likely to Churn,77.04
72971-KHU,Female,81,No,Khulna,6,8,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,560.25,560.25,0.0,0.0,207.38,767.62,Joined,Not Applicable,Not Applicable,Likely to Churn,62.43
56554-RAN,Female,29,Yes,Rangpur,0,11,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,148.12,148.12,0.0,0.0,76.65,224.77,Joined,Not Applicable,Not Applicable,Likely to Churn,94.27
86362-MYM,Female,35,Yes,Mymensingh,15,11,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Mobile Banking (bKash/Nagad),557.25,557.25,0.0,0.0,296.62,853.88,Joined,Not Applicable,Not Applicable,Likely to Churn,97.79
64327-RAJ,Female,59,Yes,Rajshahi,8,9,No Deal,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,154.88,154.88,0.0,0.0,264.3,419.18,Joined,Not Applicable,Not Applicable,Likely to Churn,95.63
84687-BAR,Female,31,No,Barishal,0,18,Deal 5,No,No,Yes,Mobile Broadband,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,185.25,185.25,0.0,525.0,0.0,710.25,Joined,Not Applicable,Not Applicable,Likely to Churn,96.67
